timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665140651680,4,Get User by ID,200,OK,stress 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,4,0,0
1665140653677,32,Get Users,200,OK,stress 1-23,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,32,0,19
1665140653709,5,Delete User,200,OK,stress 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,5,0,0
1665140653715,5,Get User by ID,200,OK,stress 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,5,0,0
1665140655665,26,Get Users,200,OK,stress 1-24,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,26,0,14
1665140655691,4,Delete User,200,OK,stress 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,4,0,0
1665140655695,4,Get User by ID,200,OK,stress 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,4,0,0
1665140657665,23,Get Users,200,OK,stress 1-25,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,23,0,18
1665140657688,4,Delete User,200,OK,stress 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
1665140657692,5,Get User by ID,200,OK,stress 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,5,0,0
1665140659666,29,Get Users,200,OK,stress 1-26,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,29,0,16
1665140659695,5,Delete User,200,OK,stress 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,5,0,0
1665140659700,4,Get User by ID,200,OK,stress 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140661666,31,Get Users,200,OK,stress 1-27,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,31,0,17
1665140661697,5,Delete User,200,OK,stress 1-27,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,5,0,0
1665140661702,4,Get User by ID,200,OK,stress 1-27,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,4,0,0
1665140663677,31,Get Users,200,OK,stress 1-28,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,31,0,16
1665140663708,6,Delete User,200,OK,stress 1-28,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,6,0,0
1665140663715,5,Get User by ID,200,OK,stress 1-28,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,5,0,0
1665140665664,22,Get Users,200,OK,stress 1-29,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,22,0,16
1665140665686,5,Delete User,200,OK,stress 1-29,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140665692,5,Get User by ID,200,OK,stress 1-29,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140667664,35,Get Users,200,OK,stress 1-30,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,35,0,17
1665140667699,7,Delete User,200,OK,stress 1-30,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,7,0,0
1665140667706,5,Get User by ID,200,OK,stress 1-30,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,5,0,0
